No,Site name (city/station/...),Ready for generation? AFTER CLOUD COVER ESTIMATION,Science case for,Ground measurement [Y/N],"Protection status [Y/N]
(will NOT include a protection map)","Country Code (ISO alpha2)
(will not be included in  data cube, too political)","Site ID (give a name or write ""none"")","ground measurement: 
ecosystem station,
atmosphere station,
experiement site,
own private data","land cover 
IGBP classification","center_lat","center_lon",Science case potential,remarks,"for flux towers only
->","elevation above mean sea level [m]
mainly for flux towers",measurements available from [year],measurements available to [year],"fluxtower: land cover 
IGBP classification ID"
1,Grillenburg,yes,Karin,Y,unknown,,DE-Gri,eddy covariance ecosystem,Grasslands,50.950040,13.512590,eddy covariance ecosystem,,,385,2004,2021,GRA
1,Rollesbroich,yes,Karin,Y,unknown,,DE-RuR,eddy covariance ecosystem,Grasslands,50.621914,6.304126,eddy covariance ecosystem,,,514.7,2011,2024,GRA
1,Col du Lautaret,yes,Karin,Y,unknown,,FR-CLt,eddy covariance ecosystem,Grasslands,45.041400,6.410530,eddy covariance ecosystem,,,2050.6,2021,2023,GRA
1,Laqueuille,yes,Karin,Y,unknown,,FR-Lqu,eddy covariance ecosystem,Grasslands,45.644400,2.734900,eddy covariance ecosystem,,,1040,2021,2023,GRA
1,Lusignan,yes,Karin,Y,unknown,,FR-Lus,eddy covariance ecosystem,Grasslands,46.414246,0.120652,eddy covariance ecosystem,,,154,2021,2023,GRA
1,Mejusseaume,yes,Karin,Y,unknown,,FR-Mej,eddy covariance ecosystem,Grasslands,48.118400,-1.796350,eddy covariance ecosystem,,,40,2018,2023,GRA
1,Toulouse,yes,Karin,Y,unknown,,FR-Tou,eddy covariance ecosystem,Grasslands,43.572857,1.374740,eddy covariance ecosystem,,,158,2018,2024,GRA
1,Monte Bondone,yes,Karin,Y,unknown,,IT-MBo,eddy covariance ecosystem,Grasslands,46.014680,11.045831,eddy covariance ecosystem,,,1550,2003,2021,GRA
1,Nivolet,yes,Karin,Y,unknown,,IT-Niv,eddy covariance ecosystem,Grasslands,45.490910,7.139430,eddy covariance ecosystem,,,2750,2018,2023,GRA
1,Torgnon,yes,Karin,Y,unknown,,IT-Tor,eddy covariance ecosystem,Grasslands,45.844440,7.578055,eddy covariance ecosystem,,,2168,2008,2024,GRA
1,Vielsam,yes,Karin,Y,unknown,,BE-Vie,eddy covariance ecosystem,Mixed Forests,50.304962,5.998099,eddy covariance ecosystem,,,490,1996,2021,MF
1,Laegern,yes,Karin,Y,unknown,,CH-Lae,eddy covariance ecosystem,Mixed Forests,47.478333,8.364389,eddy covariance ecosystem,,,682,2004,2022,MF
1,Hartheim,yes,Karin,Y,unknown,,DE-Har,eddy covariance ecosystem,Mixed Forests,47.933000,7.598100,eddy covariance ecosystem,,,201,2020,2024,MF
1,Lison,yes,Karin,Y,unknown,,IT-Lsn,eddy covariance ecosystem,Open Shrublands,45.740482,12.750297,eddy covariance ecosystem,,,1,2016,2024,OSH
1,Berlin-Rothenburgstrasse,yes,Karin,Y,unknown,,DE-BeR,eddy covariance ecosystem,Urban and Built-Up Lands,52.457233,13.315827,eddy covariance ecosystem,,,57,2017,2023,URB
1,Turow (Poland),yes,Martin,N,unknown,PL,LM-Turow,,,50.84874456,14.86926364,Lignite mining: active,,,,,,
1,Jänschwalde (Cottbus),yes,Martin,N,unknown,DE,LM-Jaenschwalde,,,51.92311625,14.57636698,Lignite mining: recently stopped,mining stop in Dec. '23,,,,,
1,Hambach (Jülich),yes,Martin,N,unknown,DE,LM-Hambach,,,50.85196806,6.623941529,Lignite mining: active,,,,,,
1,Inden (Jülich),yes,Martin,N,unknown,DE,LM-Inden,,,50.80141861,6.390952292,Lignite mining: active,,,,,,
1,"Profen-Nord, Domsen (Leipzig)",yes,Martin,N,unknown,DE,LM-Profen,,,51.20134256,12.11604245,Lignite mining: active,New mining area from 2016,,,,,
1,Lom ČSA (Czech republic),yes,Martin,N,unknown,CZ,LM-LomCSA,,,50.57553789,13.44832433,Lignite mining: paused,paused in 2024,,,,,
1,Adamow (Poland),yes,Martin,N,unknown,PL,LM-Adamow,,,52.02218943,18.65511247,Lignite mining: stopped in Feb '21,recultivcating slowly started,,,,,
1,Leipzig,yes,Karin,Y,unknown,DE,Leipzig_city,Flora Incognita,Urban,51.337296,12.376166,urban,,,,,,
1,Leipzig South,yes,Karin,Y,unknown,DE,Leipzig_South,Flora Incognita,Urban,51.2791,12.36864,urban,,,,,,
1,Jena Experiment,yes,Karin,Y,unknown,DE,Jena,Flora Incognita,Urban,50.9167,11.5833,urban,,,130,,,
1,Illmenau,yes,Karin,Y,unknown,DE,Illmenau,Flora Incognita,Urban,50.683889,10.919444,urban,,,,,,
1,Carpathians,yes,Daria,,Y,,Carp_01,,,47.80930069,24.87594613,biodiversity,"old-growth forest inventory, Ukrainian grassland database - available via Ukrainian custodians",,,,,
1,Carpathians,yes,Daria,,N,,Carp_02,,,48.19584179,24.67821232,biodiversity,Ukrainian grassland database - available via Ukrainian custodians,,,,,
1,Carpathians,yes,Daria,,Y,,Carp_03,,,47.97330529,24.35743477,biodiversity,"old-growth forest inventory, Ukrainian grassland database - available via Ukrainian custodians",,,,,
1,Carpathians,yes,Daria,,Y,,Carp_04,,,48.98847086,22.589934,biodiversity,"old-growth forest inventory, Ukrainian grassland database - available via Ukrainian custodians",,,,,
1,Carpathians,yes,Daria,,Y,,Carp_05,,,48.33903495,23.73915028,biodiversity,old-growth forest inventory - available via Ukrainian custodians,,,,,
1,Carpathians,yes,Daria,,Y,,Carp_06,,,48.69384992,23.81481756,biodiversity,old-growth forest inventory - available via Ukrainian custodians,,,,,
1,Carpathians,yes,Daria,,Y,,Carp_07,,,48.67157626,23.17754663,biodiversity,"old-growth forest inventory, Ukrainian grassland database - available via Ukrainian custodians",,,,,
1,Carpathians,yes,Daria,,Y,,Carp_08,,,49.24679584,22.83550159,biodiversity,Ukrainian grassland database - available via Ukrainian custodians,,,,,
1,Carpathians,yes,Daria,,Y,,Carp_09,,,48.45000885,24.75304674,biodiversity,Ukrainian grassland database - available via Ukrainian custodians,,,,,
1,Carpathians,yes,Daria,,Y,,Carp_10,,,48.13423316,25.21853064,biodiversity,"old-growth forest inventory, Ukrainian grassland database - available via Ukrainian custodians",,,,,
1,Bavarian Forest,yes,from Chaonan,N,Y,DE,BavFor_01,Hyperspectral Data,,49.08423676,13.29458097,Hyperspectral data in Tee Cube project,,,,,,
1,Bavarian Forest,yes,from Chaonan,N,Y,DE,BavFor_02,Hyperspectral Data,,48.95033114,13.41615318,Hyperspectral data in Tee Cube project,,,,,,
1,Standing dead wood,yes,Clemens,Y,unknown,,auwald_10_08_2023_ortho.tif,,,51.3644,12.3219,Standing dead wood,"auwald, predominantly ash",,,,,
1,Standing dead wood,yes,Clemens,Y,unknown,,TB_municipal_2019_orthomosaic.tif,,,52.04099,12.91254,Standing dead wood,"some form of conifer, completely dead and later removed",,,,,
1,Standing dead wood,yes,Clemens,Y,unknown,,southharz_01_05_2024.tif,,,51.564,10.845,Standing dead wood,"mixed, few dead trees",,,,,
1,Standing dead wood,yes,Clemens,Y,unknown,,20191024_FVA_Walddrohnen_Totholz_7_ortho.tif,,,48.5734,8.3072,Standing dead wood,,,,,,
1,Standing dead wood,yes,Clemens,Y,unknown,,uavforsat_KAB005_ortho.tif,,,48.9939,8.7076,Standing dead wood,,,,,,
1,Standing dead wood,yes,Clemens,Y,unknown,,20211007_FVA_Walddrohnen_Totholz_2_ortho.tif,,,47.7469,8.1449,Standing dead wood,,,,,,
1,Standing dead wood,yes,Clemens,Y,unknown,,20211001_FVA_Walddrohnen_Totholz_4_ortho.tif,,,47.9626,8.0523,Standing dead wood,,,,,,
1,Standing dead wood,yes,Clemens,Y,unknown,,easterneurope_test_Chunk_7_ortho.tif,,,50.333,17.089,Standing dead wood,,,,,,
1,Standing dead wood,yes,Clemens,Y,unknown,,switzerlandeth_rgb6.tif,,,46.7024,7.7762,Standing dead wood,,,,,,
1,Standing dead wood,yes,Clemens,Y,unknown,,uavforsat_KAB011_ortho.tif,,,49.0339,8.4277,Standing dead wood,,,,,,
,TOTAL  no of sites,79,,,,,,,,,,,,,,,,
