ID,elev,lon,lat,mean_tavg,total_prec,temp_bin_label,precip_bin_label,LC1,LC1_perc,LC2,LC2_perc,LC3,LC3_perc,LC1_cci,LC1_perc_cci,LC2_cci,LC2_perc_cci,LC3_cci,LC3_perc_cci,TreeCat
ID0037,1020,7.812499999999985,60.50416666666667,-0.15833335,85.7,-2 to 0,80 to 100,100,47.3,10,20.1,30,15.7,150,66.7,100,11.1,210,11.1,noTree
ID0038,1140,8.020833333333318,61.65416666666667,-0.75,95.7,-2 to 0,80 to 100,100,45.3,10,31.1,30,23.0,60,55.6,150,33.3,70,11.1,noTree
ID0039,1150,8.562499999999998,60.9875,-0.73333335,82.4,-2 to 0,80 to 100,100,49.7,10,36.5,30,9.0,150,44.4,110,44.4,11,11.1,noTree
ID0040,890,12.67083333333333,61.44583333333333,-0.12499999,93.9,-2 to 0,80 to 100,100,42.7,10,36.0,30,17.2,150,66.7,122,22.2,100,11.1,noTree
ID0041,1260,8.212499999999984,60.82083333333333,-1.3541666,87.8,-2 to 0,80 to 100,100,53.8,10,24.6,30,19.0,60,66.7,200,33.3,0,0.0,noTree
ID0042,1015,8.079166666666652,61.4625,-0.33333334,87.8,-2 to 0,80 to 100,100,39.1,10,31.2,30,28.4,60,44.4,70,22.2,150,22.2,noTree
ID0043,970,6.895833333333318,60.454166666666666,1.2416667,159.5,0 to 2,140 to 160,100,62.9,10,18.5,30,13.2,150,66.7,100,22.2,60,11.1,noTree
ID0044,1857,20.179166666666664,49.17916666666667,0.016666703,146.2,0 to 2,140 to 160,100,42.4,10,35.5,30,19.9,200,44.4,100,33.3,150,22.2,noTree
ID0045,780,7.270833333333318,61.94583333333333,1.9166666,149.6,0 to 2,140 to 160,100,39.9,10,32.7,30,21.4,60,55.6,150,33.3,11,11.1,noTree
ID0046,1027,7.170833333333318,59.24583333333334,1.225,150.9,0 to 2,140 to 160,100,68.3,10,17.7,30,11.6,150,55.6,60,33.3,100,11.1,noTree
ID0047,1066,7.020833333333318,59.3125,1.0541667,170.0,0 to 2,160 to 180,100,63.8,10,13.7,60,12.7,150,66.7,110,22.2,100,11.1,noTree
ID0048,933,7.079166666666652,61.87916666666667,0.6791666,170.5,0 to 2,160 to 180,100,42.6,10,33.9,30,22.3,60,55.6,150,33.3,200,11.1,noTree
ID0049,1147,6.887499999999985,60.92083333333333,0.22916669,178.9,0 to 2,160 to 180,100,43.9,10,34.8,30,17.0,60,33.3,70,33.3,150,22.2,noTree
ID0050,1037,6.995833333333318,61.44583333333333,0.3541667,174.8,0 to 2,160 to 180,100,60.6,10,28.5,30,9.7,200,55.6,60,33.3,201,11.1,noTree
ID0051,2253,12.2125,46.92083333333333,0.1875,131.2,0 to 2,120 to 140,100,38.2,10,27.4,30,23.0,201,44.4,70,33.3,130,22.2,noTree
